Category,Company Name,Address,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
"Petrol Pump","Indian oil - DOMJUR","J6R6+2PG, Hajrapara, Domjur, Howrah, West Bengal 711405","J6R6+2PGHajrapara","Howrah","WestBengal","711405","","","","3.4","19",
"Petrol Pump","Indian Oil Domjur Service Station","SH15, Baruipara, Makardah, Howrah, West Bengal 711405","SH15Baruipara","Howrah","WestBengal","711405","","https://www.iocl.com/","","4.3","198",
"Petrol Pump","HP Petrol Pump","Dakshin Jhapardah PO Dist Howrah, Domjur, Kolkata, West Bengal 711405","Dakshin Jhapardah PO Dist HowrahDomjur","Kolkata","WestBengal","711405","097354 60085","http://www.hindustanpetroleum.com/","info@lpgvitrakchayanweb.in","3.9","83",
"Petrol Pump","Indian Oil Petrol Station (Begri)","Begri,, Begri, Domjur, Howrah, West Bengal 711411","Begri","Howrah","WestBengal","711411","","","","3.7","65",
"Petrol Pump","BEGRI PETROL PAUMP","J697+J7, Begri, Domjur, Howrah, West Bengal 711411","J697+J7Begri","Howrah","WestBengal","711411","","","","","",
"Petrol Pump","HP PETROL PUMP - DAMODAR FUEL STATION %u09AE%u09BE%u0995%u09DC%u09A6%u09B9","Makardah Rd, Karuripara, Makardah, Kolkata, West Bengal 711409","Makardah RdKaruripara","Kolkata","WestBengal","711409","","http://hpretail.in/","","3.8","78",
"Petrol Pump","Bharat Petroleum Petrol Pump (HALDAR SERVICE STATION)","P.O - SOUTH JHAPORDAH, P.S - DOMJURON, Amta Rd, DIST, Howrah, West Bengal 711405","P.O - SOUTH JHAPORDAHP.S - DOMJURON","Howrah","WestBengal","711405","","http://www.bharatpetroleum.com/","life-@-bpcl.aspx","4.1","108",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Gill Service Station","JANGALPUR, HOWRAH, Howrah, West Bengal 700044","JANGALPURHOWRAH","Howrah","WestBengal","700044","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","","",
"Petrol Pump","GILL SERVICE STATION","NH-6,JANGALPORE P. O. ARGORI District, Howrah, West Bengal 711302","NH-6JANGALPORE P. O. ARGORI District","Howrah","WestBengal","711302","074393 22105","https://gill-service-station-bharat-petroleum.business.site/","","4.1","69",
"Petrol Pump","Indian oil petrol pump","H7V7+G7M, Kamrangu, Andul, Howrah, West Bengal 711302","H7V7+G7MKamrangu","Howrah","WestBengal","711302","","","","5","1",
"Petrol Pump","Indian Oil Petrol Pump","Service Rd, Kamrangu, Andul, Howrah, West Bengal 711302","Service RdKamrangu","Howrah","WestBengal","711302","","","","4.1","87",
"Petrol Pump","Indian Oil Petrol Pump","Jangalpur, Haora, NH-6, Grand Trunk Road, Howrah, West Bengal 711112","JangalpurHaora","Howrah","WestBengal","711112","089067 29411","https://www.iocl.com/","","3.7","57",
"State government office","DOMJUR B.D.O. OFFICE  HOWRAH  WEST BENGAL.","J6GM+X5J, Baruipara, Domjur, Howrah, West Bengal 711405","J6GM+X5JBaruipara","Howrah","WestBengal","711405","","","","4","23",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Atulanand S/S","SALAP, HOWRAH, Howrah, West Bengal 711409","SALAPHOWRAH","Howrah","WestBengal","711409","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","4.1","509",
"Petrol Pump","Petrol Pump Karanti RAJKUMAR","Andul, Kalara, West Bengal 711302","AndulKalara","Kalara","WestBengal","711302","090626 85947","https://website-919371534275347454912-gasstation.business.site/","","3.2","19",
"Petrol Pump","Sadukhan Petrol Pump","Andul Rd, Andul Mauri, Andul, Mahiari, West Bengal 711302","Andul RdAndul Mauri","Mahiari","WestBengal","711302","033 2647 0408","","","4.2","506",
"Petrol Pump","Atulanand Service Station BPCL Pump","Howrah,, Paikandashi, Howrah, West Bengal 711409","Howrah","Howrah","WestBengal","711409","","","","4.1","140",
"Petrol Pump","Hindustan Petroleum","Mouza Nibra Psdomjur Dist NH 6 Kolkata Mumbai Road, Howrah, West Bengal 711402","Mouza Nibra Psdomjur Dist NH 6 Kolkata Mumbai RoadHowrah","Howrah","WestBengal","711402","091430 72927","http://www.hindustanpetroleum.com/","info@lpgvitrakchayanweb.in","4","176",
"Petrol Pump","Pump Salap","J768+FXP, Paikandashi, Howrah, West Bengal 711409","J768+FXPPaikandashi","Howrah","WestBengal","711409","","","","3.5","2",
"Petrol Pump","ADHOC SUJATA SERVICE STATION","Bankura - Beliator - Sonamukhi - Khandaghosh - Nischintapur Rd, Kamrangu, Andul, Howrah, West Bengal 711403","Bankura - Beliator - Sonamukhi - Khandaghosh - Nischintapur RdKamrangu","Howrah","WestBengal","711403","","","","3.8","15",
"Petrol Pump","HP Petrol Pump","H6M7+554, Andul, Alampur, West Bengal 711302","H6M7+554Andul","Alampur","WestBengal","711302","","https://www.iocl.com/","","3.8","12",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Raibarielly Service Station","DHULAGORI,NH-6, Howrah, West Bengal 711302","DHULAGORINH-6","Howrah","WestBengal","711302","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","3.9","86",
"Petrol Pump","Petrol Pump","SH6, Dhulagori, Howrah, West Bengal 711302","SH6Dhulagori","Howrah","WestBengal","711302","","","","","",
"Petrol Pump","Indian Oil Petrol Pump","629, Benaras Road, Baigachi Po: Jagdishpurhat, Jagadishpur, Howrah, West Bengal 711205","629Benaras Road","Howrah","WestBengal","711205","092318 05318","http://iocl.com/","","4.1","145",
"Petrol Pump","HP PETROL PUMP - DEBI SERVICE STATION","PO Dist Howrah, Dasnagar, Kolkata, West Bengal 711105","PO Dist HowrahDasnagar","Kolkata","WestBengal","711105","094323 66854","http://hpretail.in/","","3.9","202",
"Petrol Pump","PETROL PUMP","H5FR+FR9, Dhulagori, Jala Dhulagiri, West Bengal 711302","H5FR+FR9Dhulagori","Jala Dhulagiri","WestBengal","711302","","","","4","1",
"Petrol Pump","BALITIKURI PETROL PUMP","J822+HX3, Natun Pally, Surkimill, Balitikuri, Howrah, West Bengal 711113","J822+HX3Natun Pally","Howrah","WestBengal","711113","","","","3.8","102",
