Company Name,Address
Bharat Petroleum  Petrol Pump -Prova S/Stn,"37/1, A P C ROAD, KOLKATA, Kolkata, West Bengal 700009"
Petrol Pump,"Ward No.3, Hem Chandra Naskar Rd, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata, West Bengal 700010"
Central Avenue Petrol Pump,"Khirode Vidya Binode Ave, Poddar Court, Tiretti, Kolkata, West Bengal 700073"
Church Lane Petrol Pump,"Church Ln, B.B.D. Bagh, Kolkata, West Bengal 700001"
Indian Oil Petrol Pump,"Abhay Guha Rd, Sovabazar, Darjipara, Shobhabazar, Kolkata, West Bengal 700006"
Petrol Pump,"CIT Rd, Kankurgachi, Kolkata, West Bengal 700054"
Bharat Petrol Pump,"239, Circus Ave Road, Acharya Jagadish Chandra Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020"
Bharat Petroleum  Petrol Pump -Ballygunj Service Stn,"225A, Acharya Jagadish Chandra Bose Rd, Elgin, Kolkata, West Bengal 700020"
Posta Petrol Pump,"207, Maharshi Debendra Rd, Malapara, Jorabagan, Kolkata, West Bengal 700006"
Indian Oil Petrol Pump,"57, Park Street, Acharya Jagadish Chandra Bose Rd, Dharmatala, Taltala, Kolkata, West Bengal 700016"
BPCL Petrol Pump,"87l, Park St, Mullick Bazar, Park Circus, Kolkata, West Bengal 700016"
Petrol Pump Amherst Street,"33/1, Raja Ram Mohan Sarani, Baithakkhana, Kolkata, West Bengal 700009"
Hirjee Auto Center - Indian Oil Petrol Pump,"120, 2, Acharya Prafulla Chandra Rd, Machuabazar, Kolkata, West Bengal 700009"
Indian Oil Servo Petrol Pump,"Dock Eastern Boundary Rd, Babu Bazar, Khidirpur, Kolkata, West Bengal 700023"
Bharat Petroleum  Petrol Pump -Jameco Agencies (P) Ltd,"Church Ln, B.B.D. Bagh, Kolkata, West Bengal 700001"
Bharat Petroleum Petrol Pump,"2f, Camac St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071"
Indian Oil,"68, Christopher Road, Seal Lane, Tangra, Kolkata, West Bengal 700046"
HP PETROL PUMP - RAMNAGAR SERVICE STATION,"Harimohan Calcutta, 66/1, Baburam Ghosh Rd, Tollygunge, Kolkata, West Bengal 700024"
Indian Oil Petrol Pump,"G7GX+359, Paharpur, Garden Reach, Kolkata, West Bengal 700088"
Bharat Petroleum  Petrol Pump -Imperial Petrol Service Station,"3V, VIVEKANAND RD., KOLKAT, Kolkata, West Bengal 700007"
Bharat Petroleum  Petrol Pump -Biswanath Motor Co,"RAFI AHMED KIDWAI RD, KOLK, Kolkata, West Bengal 700013"
Bharat Petroleum  Petrol Pump -Mangalam Service Station,"240A, Acharya Jagadish Chandra Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020"
R N Singh & Sons Petrol Pump,"16b, Beleghata Main Rd, near Punjab National Bank, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata, West Bengal 700010"
Jora Petrol Pump,"10B, Surah E Rd, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata, West Bengal 700010"
Bharat Petroleum  Petrol Pump -CAMAC,"CAMAC STREET ,KOLKATA, Kolkata, West Bengal 700016"
Belvedere Petrol Pump- Indian Oil,"Alipore Zoo, Belvedere Rd, Lake Place, Alipore, Kolkata, West Bengal 700025"
HP PETROL PUMP - MATHURIA SERVICE STATION,"17 Debendra Gangully Road Howrah, Kolkata, West Bengal 711103"
HP PETROL PUMP - PRATAP SERVICE STATION,"103/ Howrah, 21, Upper Foreshore Rd, Choura Bustee, Shibpur, Kolkata, West Bengal 711101"
Gopal Auto Service,"Belgachia Road,Dutta Bagan, 38/D/H, Khudiram Bose Rd, Tala, MIG Housing, Kolkata, West Bengal 700037"
HP PETROL PUMP - INDIA TRADING CO,"69, Park Street, Kolkata, 700016"
Auto Fill In (Indian Oil corporation),"seven point, 32, Circus Ave, Park Circus, Elgin, Kolkata, West Bengal 700017"
28.No Petrol Pump,"63-77, Garden Reach Rd, Ramnagar Kumar Para Basti, Garden Reach, Kolkata, West Bengal 700024"
Indian Oil Petrol Pump (K C Daw),"Strand Rd, B.B.D. Bagh, Kolkata, West Bengal 700001"
Bharat Petroleum,"2, Ganesh Chandra Ave, Mission Row Extension, Esplanade, Bara Bazar, Bowbazar, Kolkata, West Bengal 700013"
HP PETROL PUMP - JAGADISH AUTO SERVICE,"8/1, Beleghata Main Rd, Seal Lane, Tangra, Kolkata, West Bengal 700015"
Bharat Petroleum  Petrol Pump -Auto Fuel & Services,"PARK STREET KOLKATA, Kolkata, West Bengal 700016"
Bharat Petroleum  Petrol Pump,"PARK CIRCUS,KOLKATA, Kolkata, West Bengal 700017"
HP Petrol Pump,"1C, Ashutosh Mukherjee Rd, Gaza Park, Sreepally, Bhowanipore, Kolkata, West Bengal 700020"
Petrol Pump,"9336650250 call me, 11, Camac St, Elgin, Kolkata, West Bengal 700071"
Indian Oil,"13, Camac St, Elgin, Kolkata, West Bengal 700017"
Central Services,"3 & 5, Ganesh Chandra Avenue,, Kolkata, West Bengal 700013"
Indian Oil Fuel Station,"4A, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020"
Indian Oil Petrol Pump,"P-9, C.I.T. Rd, Sealdah, Moula Ali, Kolkata, West Bengal 700014"
Bharat Petrol Pump,"147, Rabindra Sarani, Bortola, Kolkata, West Bengal 700007"
Bharat Petroleum Petrol Pump Chaltabagan,"128-130, Vivekananda Rd, Manicktala, Simla, Machuabazar, Kolkata, West Bengal 700006"
Indian Oil,"58, Diamond Harbour Rd, Mominpore, Kolkata, West Bengal 700023"
Mudiali Petrol Pump,"200T, Shyama Prasad Mukherjee Rd, Mudiali, Kalighat, Kolkata, West Bengal 700026"
HP,"92, Acharya Prafulla Chandra Rd, Garpar, Raja Bazar, Kolkata, West Bengal 700009"
Bharat Petroleum Petrol Pump,"120, CIT Rd, Paddapukur, Entally, Kolkata, West Bengal 700014"
Indian Oil Petrol Pump (A group of Sinha Petroleum),"I/10, Connector, Garia Park, Baishnabghata Patuli Twp, Garia, Kolkata, West Bengal 700084"
Lake Town Petrol Pump,"Khudiram Bose Rd, B Block, Green Park, Lake Town, Kolkata, West Bengal 700089"
,
