Sl no.,Type,Company Name,Address
1,Petrol Pump,Bharat Petroleum  Petrol Pump -Prova S/Stn,"37/1, A P C ROAD, KOLKATA, Kolkata, West Bengal 700009"
2,Petrol Pump,Petrol Pump,"Ward No.3, Hem Chandra Naskar Rd, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata, West Bengal 700010"
3,Petrol Pump,Central Avenue Petrol Pump,"Khirode Vidya Binode Ave, Poddar Court, Tiretti, Kolkata, West Bengal 700073"
4,Petrol Pump,Church Lane Petrol Pump,"Church Ln, B.B.D. Bagh, Kolkata, West Bengal 700001"
5,Petrol Pump,Indian Oil Petrol Pump,"Abhay Guha Rd, Sovabazar, Darjipara, Shobhabazar, Kolkata, West Bengal 700006"
6,Petrol Pump,Petrol Pump,"CIT Rd, Kankurgachi, Kolkata, West Bengal 700054"
7,Petrol Pump,Bharat Petrol Pump,"239, Circus Ave Road, Acharya Jagadish Chandra Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020"
8,Petrol Pump,Bharat Petroleum  Petrol Pump -Ballygunj Service Stn,"225A, Acharya Jagadish Chandra Bose Rd, Elgin, Kolkata, West Bengal 700020"
9,Petrol Pump,Posta Petrol Pump,"207, Maharshi Debendra Rd, Malapara, Jorabagan, Kolkata, West Bengal 700006"
10,Petrol Pump,Indian Oil Petrol Pump,"57, Park Street, Acharya Jagadish Chandra Bose Rd, Dharmatala, Taltala, Kolkata, West Bengal 700016"
11,Petrol Pump,BPCL Petrol Pump,"87l, Park St, Mullick Bazar, Park Circus, Kolkata, West Bengal 700016"
12,Petrol Pump,Petrol Pump Amherst Street,"33/1, Raja Ram Mohan Sarani, Baithakkhana, Kolkata, West Bengal 700009"
13,Petrol Pump,Hirjee Auto Center - Indian Oil Petrol Pump,"120, 2, Acharya Prafulla Chandra Rd, Machuabazar, Kolkata, West Bengal 700009"
14,Petrol Pump,Indian Oil Servo Petrol Pump,"Dock Eastern Boundary Rd, Babu Bazar, Khidirpur, Kolkata, West Bengal 700023"
15,Petrol Pump,Bharat Petroleum  Petrol Pump -Jameco Agencies (P) Ltd,"Church Ln, B.B.D. Bagh, Kolkata, West Bengal 700001"
16,Petrol Pump,Bharat Petroleum Petrol Pump,"2f, Camac St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071"
17,Petrol Pump,Indian Oil,"68, Christopher Road, Seal Lane, Tangra, Kolkata, West Bengal 700046"
18,Petrol Pump,HP PETROL PUMP - RAMNAGAR SERVICE STATION,"Harimohan Calcutta, 66/1, Baburam Ghosh Rd, Tollygunge, Kolkata, West Bengal 700024"
19,Petrol Pump,Indian Oil Petrol Pump,"G7GX+359, Paharpur, Garden Reach, Kolkata, West Bengal 700088"
20,Petrol Pump,Bharat Petroleum  Petrol Pump -Imperial Petrol Service Station,"3V, VIVEKANAND RD., KOLKAT, Kolkata, West Bengal 700007"
21,Petrol Pump,Bharat Petroleum  Petrol Pump -Biswanath Motor Co,"RAFI AHMED KIDWAI RD, KOLK, Kolkata, West Bengal 700013"
