Category,Company Name,Address,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
"Electric vehicle charging station","Electric Vehicle Charging Station","Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017","UnderMaa Flyover","Kolkata","WestBengal","700017","","","","5","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","1, Chittaranjan Ave, %u090F%u0938%u094D%u092A%u0932%u0947%u0928%u0947%u0921, %u091A%u094B%u0935%u094D%u0930%u093F%u0928%u094D%u0918%u0940 %u0928%u0949%u0930%u094D%u0925, %u092C%u094B %u092C%u0948%u0930%u0915%u094D%u0938, %u0915%u094B%u0932%u0915%u093E%u0924%u093E, %u092A%u0936%u094D%u091A%u093F%u092E %u092C%u0902%u0917%u093E%u0932 700072","1Chittaranjan Ave","%u0915%u094B%u0932%u0915%u093E%u0924%u093E","%u092A%u0936%u094D%u091A%u093F%u092E%u092C%u0902%u0917%u093E%u0932","700072","","https://www.plugshare.com/location/288107","","","",
"Electric vehicle charging station","Electrical Vehicle Charging Station","Indian Oil Bhavan 2, Gariahat Rd, Jodhpur Park, Kolkata, West Bengal 700068","Indian Oil Bhavan 2Gariahat Rd","Kolkata","WestBengal","700068","","","","3","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068","Opp.Lake Police Stn./ Indian Oil Corp. H.OJodhpur Park","Kolkata","WestBengal","700068","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","P54, Hide Rd, Tikiapara, Garden Reach, Kolkata, West Bengal 700043","P54Hide Rd","Kolkata","WestBengal","700043","","https://www.plugshare.com/location/322676","","","",
"Electric vehicle charging station","Tata Charging Station","43, Jawaharlal Nehru Rd, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071","43Jawaharlal Nehru Rd","Kolkata","WestBengal","700071","","https://nexonev.tatamotors.com/charging-locator/","customercare@tatamotors.com.","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107","Second Floor 1644Rajdanga Pally","Kolkata","WestBengal","700107","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156","Millenium TowerMajor Arterial Road(South-East)","Kolkata","WestBengal","700156","","https://www.plugshare.com/location/288104","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","26, Alipur Rd, Alipore, Kolkata, West Bengal 700027","26Alipur Rd","Kolkata","WestBengal","700027","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","G78H+32G, Rampur, Santoshpur, Kolkata, West Bengal 700088","G78H+32GRampur","Kolkata","WestBengal","700088","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028","10Mahendra Colony","Kolkata","WestBengal","700028","","","","4","13",
"Electric vehicle charging station","Electric Vehicle Charging Station","63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037","63Khudiram Bose Rd","Kolkata","WestBengal","700037","","","","3","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156","NH34Jatragachhi","Kolkata","WestBengal","700156","","","","2.8","4",
"Electric vehicle charging station","NKDA Charging Station","Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156","Unnamed RoadJatragachhi","Kolkata","WestBengal","700156","","","","4","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","No.1, Sourin Roy Rd, Diamond Harbour Rd, Behala, Kolkata, West Bengal 700034","No.1Sourin Roy Rd","Kolkata","WestBengal","700034","","https://www.chargelist.com/","heretohelp@bp.com","","",
"Electric vehicle charging station","TATA Charging Station","707, Jadu Colony, Sarada Pally, Kolkata, West Bengal 700034","707Jadu Colony","Kolkata","WestBengal","700034","","https://nexonev.tatamotors.com/charging-locator/","customercare@tatamotors.com.","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028","292R N Guha Road","Kolkata","WestBengal","700028","","https://www.chargelist.com/","heretohelp@bp.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028","111aRishi Bankim Chandra Road","Kolkata","WestBengal","700028","","","","3","1",
"Electric vehicle charging station","Hero Electric Charging Station","188/1, Block - J, New Alipore, Kolkata, West Bengal 700038","188/1Block - J","Kolkata","WestBengal","700038","096741 90048","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","Hero Electric Charging Station","23/A, Diamond Harbour Road, New Alipore, Kolkata, West Bengal 700088","23/ADiamond Harbour Road","Kolkata","WestBengal","700088","078908 77560","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Malancha Housing, Action Area IIB, Rekjuani, Kolkata, West Bengal 700135","Malancha HousingAction Area IIB","Kolkata","WestBengal","700135","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Shapoorji Bus Terminus, Action Area III, Newtown, Kolkata, West Bengal 700135","Shapoorji Bus TerminusAction Area III","Kolkata","WestBengal","700135","","","","1","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","Parking Lot Golf ClubGate no. 6","Rekjuani","WestBengal","700156","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135","Nawabpur (New TownAction Area IIE","Kolkata","WestBengal","700135","","","","","",
"Electric vehicle charging station","Hero Electric Charging Station","109/1/F Girish Ghosh Road, Howrah, Kolkata, West Bengal 711202","109/1/F Girish Ghosh RoadHowrah","Kolkata","WestBengal","711202","089818 13651","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156","Mehman Kolkata RestaurantBF Block(Newtown)","NKDA","WestBengal","700156","","","","4","2",
"Electric vehicle charging station","Hero Electric Charging Station","Chetla Hut Road, Kalighat, West Bengal 700027","Chetla Hut RoadKalighat","Kalighat","WestBengal","700027","062911 39496","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
